,MV,P,PE,VA,VO
1990-01-01,,,,,
1990-01-08,,,,,
1990-01-15,,,,,
1990-01-22,,,,,
1990-01-29,,,,,
1990-02-05,,,,,
1990-02-12,,,,,
1990-02-19,,,,,
1990-02-26,,,,,
1990-03-05,,,,,
1990-03-12,,,,,
1990-03-19,,,,,
1990-03-26,,,,,
1990-04-02,,,,,
1990-04-09,,,,,
1990-04-16,,,,,
1990-04-23,,,,,
1990-04-30,,,,,
1990-05-07,,,,,
1990-05-14,,,,,
1990-05-21,,,,,
1990-05-28,,,,,
1990-06-04,,,,,
1990-06-11,,,,,
1990-06-18,,,,,
1990-06-25,,,,,
1990-07-02,,,,,
1990-07-09,,,,,
1990-07-16,,,,,
1990-07-23,,,,,
1990-07-30,,,,,
1990-08-06,,,,,
1990-08-13,,,,,
1990-08-20,,,,,
1990-08-27,,,,,
1990-09-03,,,,,
1990-09-10,,,,,
1990-09-17,,,,,
1990-09-24,,,,,
1990-10-01,,,,,
1990-10-08,,,,,
1990-10-15,,,,,
1990-10-22,,,,,
1990-10-29,,,,,
1990-11-05,,,,,
1990-11-12,,,,,
1990-11-19,,,,,
1990-11-26,,,,,
1990-12-03,,,,,
1990-12-10,,,,,
1990-12-17,,,,,
1990-12-24,,,,,
1990-12-31,,,,,
1991-01-07,,,,,
1991-01-14,,,,,
1991-01-21,,,,,
1991-01-28,,,,,
1991-02-04,,,,,
1991-02-11,,,,,
1991-02-18,,,,,
1991-02-25,,,,,
1991-03-04,,,,,
1991-03-11,,,,,
1991-03-18,,,,,
1991-03-25,,,,,
1991-04-01,,,,,
1991-04-08,,,,,
1991-04-15,,,,,
1991-04-22,,,,,
1991-04-29,,,,,
1991-05-06,,,,,
1991-05-13,,,,,
1991-05-20,,,,,
1991-05-27,,,,,
1991-06-03,,,,,
1991-06-10,,,,,
1991-06-17,,,,,
1991-06-24,,,,,
1991-07-01,,,,,
1991-07-08,,,,,
1991-07-15,,,,,
1991-07-22,,,,,
1991-07-29,,,,,
1991-08-05,,,,,
1991-08-12,,,,,
1991-08-19,,,,,
1991-08-26,,,,,
1991-09-02,,,,,
1991-09-09,,,,,
1991-09-16,,,,,
1991-09-23,,,,,
1991-09-30,,,,,
1991-10-07,,,,,
1991-10-14,,,,,
1991-10-21,,,,,
1991-10-28,,,,,
1991-11-04,,,,,
1991-11-11,,,,,
1991-11-18,,,,,
1991-11-25,,,,,
1991-12-02,,,,,
1991-12-09,,,,,
1991-12-16,,,,,
1991-12-23,,,,,
1991-12-30,,,,,
1992-01-06,,,,,
1992-01-13,,,,,
1992-01-20,,,,,
1992-01-27,,,,,
1992-02-03,,,,,
1992-02-10,,,,,
1992-02-17,,,,,
1992-02-24,,,,,
1992-03-02,,,,,
1992-03-09,,,,,
1992-03-16,,,,,
1992-03-23,,,,,
1992-03-30,,,,,
1992-04-06,,,,,
1992-04-13,,,,,
1992-04-20,,,,,
1992-04-27,,,,,
1992-05-04,,,,,
1992-05-11,,,,,
1992-05-18,,,,,
1992-05-25,,,,,
1992-06-01,,,,,
1992-06-08,,,,,
1992-06-15,,,,,
1992-06-22,,,,,
1992-06-29,,,,,
1992-07-06,,,,,
1992-07-13,,,,,
1992-07-20,,,,,
1992-07-27,,,,,
1992-08-03,,,,,
1992-08-10,,,,,
1992-08-17,,,,,
1992-08-24,,,,,
1992-08-31,,,,,
1992-09-07,,,,,
1992-09-14,,,,,
1992-09-21,,,,,
1992-09-28,,,,,
1992-10-05,,,,,
1992-10-12,,,,,
1992-10-19,,,,,
1992-10-26,,,,,
1992-11-02,,,,,
1992-11-09,,,,,
1992-11-16,,,,,
1992-11-23,,,,,
1992-11-30,,,,,
1992-12-07,,,,,
1992-12-14,,,,,
1992-12-21,,,,,
1992-12-28,,,,,
1993-01-04,,,,,
1993-01-11,,,,,
1993-01-18,,,,,
1993-01-25,,,,,
1993-02-01,,,,,
1993-02-08,,,,,
1993-02-15,,,,,
1993-02-22,,,,,
1993-03-01,,,,,
1993-03-08,,,,,
1993-03-15,,,,,
1993-03-22,,,,,
1993-03-29,,,,,
1993-04-05,,,,,
1993-04-12,,,,,
1993-04-19,,,,,
1993-04-26,,,,,
1993-05-03,,,,,
1993-05-10,,,,,
1993-05-17,,,,,
1993-05-24,,,,,
1993-05-31,,,,,
1993-06-07,,,,,
1993-06-14,,,,,
1993-06-21,,,,,
1993-06-28,,,,,
1993-07-05,,,,,
1993-07-12,,,,,
1993-07-19,,,,,
1993-07-26,,,,,
1993-08-02,,,,,
1993-08-09,,,,,
1993-08-16,,,,,
1993-08-23,,,,,
1993-08-30,,,,,
1993-09-06,,,,,
1993-09-13,,,,,
1993-09-20,,,,,
1993-09-27,,,,,
1993-10-04,,,,,
1993-10-11,,,,,
1993-10-18,,,,,
1993-10-25,,,,,
1993-11-01,,,,,
1993-11-08,,,,,
1993-11-15,,,,,
1993-11-22,,,,,
1993-11-29,,,,,
1993-12-06,,,,,
1993-12-13,,,,,
1993-12-20,,,,,
1993-12-27,,,,,
1994-01-03,,,,,
1994-01-10,,,,,
1994-01-17,,,,,
1994-01-24,,,,,
1994-01-31,,,,,
1994-02-07,,,,,
1994-02-14,,,,,
1994-02-21,,,,,
1994-02-28,,,,,
1994-03-07,,,,,
1994-03-14,,,,,
1994-03-21,,,,,
1994-03-28,,,,,
1994-04-04,,,,,
1994-04-11,,,,,
1994-04-18,,,,,
1994-04-25,,,,,
1994-05-02,,,,,
1994-05-09,,,,,
1994-05-16,,,,,
1994-05-23,,,,,
1994-05-30,,,,,
1994-06-06,,,,,
1994-06-13,,,,,
1994-06-20,,,,,
1994-06-27,,,,,
1994-07-04,,,,,
1994-07-11,,,,,
1994-07-18,,,,,
1994-07-25,,,,,
1994-08-01,,,,,
1994-08-08,,,,,
1994-08-15,,,,,
1994-08-22,,,,,
1994-08-29,,,,,
1994-09-05,,,,,
1994-09-12,,,,,
1994-09-19,,,,,
1994-09-26,,,,,
1994-10-03,,,,,
1994-10-10,,,,,
1994-10-17,,,,,
1994-10-24,,,,,
1994-10-31,,,,,
1994-11-07,,,,,
1994-11-14,,,,,
1994-11-21,,,,,
1994-11-28,,,,,
1994-12-05,,,,,
1994-12-12,,,,,
1994-12-19,,,,,
1994-12-26,,,,,
1995-01-02,,,,,
1995-01-09,,,,,
1995-01-16,,,,,
1995-01-23,,,,,
1995-01-30,,,,,
1995-02-06,,,,,
1995-02-13,,,,,
1995-02-20,,,,,
1995-02-27,,,,,
1995-03-06,,,,,
1995-03-13,,,,,
1995-03-20,,,,,
1995-03-27,,,,,
1995-04-03,,,,,
1995-04-10,,,,,
1995-04-17,,,,,
1995-04-24,,,,,
1995-05-01,,,,,
1995-05-08,,,,,
1995-05-15,,,,,
1995-05-22,,,,,
1995-05-29,,,,,
1995-06-05,,,,,
1995-06-12,,,,,
1995-06-19,,,,,
1995-06-26,,,,,
1995-07-03,,,,,
1995-07-10,,,,,
1995-07-17,,,,,
1995-07-24,,,,,
1995-07-31,,,,,
1995-08-07,,,,,
1995-08-14,,,,,
1995-08-21,,,,,
1995-08-28,,,,,
1995-09-04,,,,,
1995-09-11,,,,,
1995-09-18,,,,,
1995-09-25,,,,,
1995-10-02,,,,,
1995-10-09,,,,,
1995-10-16,,,,,
1995-10-23,,,,,
1995-10-30,,,,,
1995-11-06,,,,,
1995-11-13,,,,,
1995-11-20,,,,,
1995-11-27,,,,,
1995-12-04,,,,,
1995-12-11,,,,,
1995-12-18,,,,,
1995-12-25,,,,,
1996-01-01,,,,,
1996-01-08,,,,,
1996-01-15,,,,,
1996-01-22,,,,,
1996-01-29,,,,,
1996-02-05,,,,,
1996-02-12,,,,,
1996-02-19,,,,,
1996-02-26,,,,,
1996-03-04,,,,,
1996-03-11,,,,,
1996-03-18,,,,,
1996-03-25,,,,,
1996-04-01,,,,,
1996-04-08,,,,,
1996-04-15,,,,,
1996-04-22,,,,,
1996-04-29,,,,,
1996-05-06,,,,,
1996-05-13,,,,,
1996-05-20,,,,,
1996-05-27,,,,,
1996-06-03,,,,,
1996-06-10,,,,,
1996-06-17,,,,,
1996-06-24,1029.77,2.6,,,157609.2
1996-07-01,930.86,2.35,,,72192.2
1996-07-08,966.74,2.44,,,37217.9
1996-07-15,938.62,2.37,,,16092.8
1996-07-22,1040.43,2.62,,,45711.4
1996-07-29,1066.61,2.69,,,47075.7
1996-08-05,1025.89,2.59,,,18805.8
1996-08-12,1090.86,2.75,,,24818.6
1996-08-19,1008.44,2.54,,,11179.2
1996-08-26,981.29,2.47,,,10819.6
1996-09-02,1027.83,2.59,,,15387.0
1996-09-09,1119.95,2.82,,,39148.7
1996-09-16,1066.61,2.69,,,18544.8
1996-09-23,1353.63,3.41,,,46764.8
1996-09-30,1483.56,3.74,,,52207.6
1996-10-07,1481.63,3.73,,,23148.1
1996-10-14,1132.55,2.85,,,54546.9
1996-10-21,1115.1,2.81,,,17146.7
1996-10-28,1182.0,2.98,,,16410.7
1996-11-04,1229.52,3.1,,,14227.1
1996-11-11,1225.64,3.09,,,13378.1
1996-11-18,1241.15,3.13,,,9384.2
1996-11-25,1197.52,3.02,,,9310.1
1996-12-02,1471.93,3.71,,,19565.3
1996-12-09,1551.44,3.91,,,25609.0
1996-12-16,1405.02,3.54,,,17754.7
1996-12-23,1502.96,3.79,,,10453.5
1996-12-30,1716.28,4.33,,,10770.9
1997-01-06,1800.64,4.54,,,14668.1
1997-01-13,2131.29,5.37,,,54652.1
1997-01-20,2161.35,5.45,,,9587.1
1997-01-27,2167.17,5.46,,,31812.8
1997-02-03,2153.59,5.43,,,22676.4
1997-02-10,2153.59,5.43,,,
1997-02-17,2152.62,5.42,,,1685.7
1997-02-24,2117.72,5.34,,,7673.9
1997-03-03,2387.28,6.02,40.4,,18080.9
1997-03-10,2354.31,5.93,29.8,,42423.9
1997-03-17,2771.26,6.98,35.1,,119077.3
1997-03-24,2693.69,6.79,34.1,,47605.4
1997-03-31,2715.02,6.84,34.4,,35002.8
1997-04-07,3003.97,7.57,38.1,,50261.2
1997-04-14,2798.41,7.05,35.5,,35146.7
1997-04-21,2908.95,7.33,36.9,,21423.2
1997-04-28,2908.95,7.33,36.9,,38790.2
1997-05-05,2986.52,7.53,37.8,,14449.4
1997-05-12,3064.09,7.72,38.8,,44581.1
1997-05-19,2699.5,6.8,34.2,,15469.6
1997-05-26,2511.39,6.33,31.8,,8865.2
1997-06-02,2668.48,6.72,33.8,,5865.5
1997-06-09,2608.36,6.57,33.0,,10024.8
1997-06-16,2618.05,6.6,33.2,,3240.0
1997-06-23,2559.87,6.45,32.4,,4140.9
1997-06-30,2497.82,6.29,31.6,,4009.7
1997-07-07,1978.08,4.98,25.1,,3175.2
1997-07-14,2181.71,5.5,27.6,,3949.8
1997-07-21,2253.47,5.68,28.6,,4855.6
1997-07-28,2051.78,5.17,26.0,,3418.0
1997-08-04,2191.41,5.52,33.2,,2062.6
1997-08-11,2307.77,5.82,35.0,,4250.2
1997-08-18,2156.5,5.43,32.7,,2763.4
1997-08-25,2073.11,5.22,31.4,,4369.4
1997-09-01,2088.63,5.26,31.7,,4679.8
1997-09-08,2232.13,5.63,33.9,,4908.8
1997-09-15,2053.72,5.18,31.1,,2839.2
1997-09-22,2181.71,5.5,33.1,,8120.4
1997-09-29,2381.46,6.0,36.1,,27962.5
1997-10-06,2313.58,5.83,35.1,,3099.7
1997-10-13,2375.64,5.99,36.0,,6569.2
1997-10-20,2466.79,6.22,37.4,,11388.9
1997-10-27,2453.21,6.18,37.2,,10212.9
1997-11-03,2278.68,5.74,34.6,,6009.4
1997-11-10,2365.94,5.96,35.9,,5920.2
1997-11-17,2365.94,5.96,35.9,,3928.1
1997-11-24,2268.98,5.72,34.4,,4686.3
1997-12-01,2344.61,5.91,35.6,,3414.8
1997-12-08,2598.18,5.82,35.3,,4687.6
1997-12-15,2709.69,6.07,36.8,,4538.6
1997-12-22,2805.59,6.29,38.1,,5170.1
1997-12-29,2754.3,6.17,37.4,,3188.4
1998-01-05,2892.57,6.48,39.3,,2878.7
1998-01-12,3233.79,7.25,43.9,,17002.8
1998-01-19,3285.08,7.36,44.6,,15700.1
1998-01-26,3418.9,7.66,46.5,,13079.9
1998-02-02,3418.9,7.66,46.5,,
1998-02-09,3546.02,7.95,48.2,,4063.9
1998-02-16,3699.9,8.29,50.3,,14612.8
1998-02-23,3546.02,7.95,48.2,,20575.6
1998-03-02,3608.46,8.09,49.0,,11984.4
1998-03-09,4052.27,9.08,55.1,,34965.4
1998-03-16,4235.14,9.49,57.5,,56150.9
1998-03-23,4217.3,9.45,57.3,,26173.3
1998-03-30,4549.61,10.2,31.9,,27746.7
1998-04-06,4884.13,10.95,34.2,,28688.2
1998-04-13,5127.23,11.49,35.9,,18101.0
1998-04-20,5040.25,11.3,35.3,,18817.9
1998-04-27,5178.52,11.61,36.3,,22977.3
1998-05-04,5490.75,12.31,38.5,,24290.9
1998-05-11,5031.33,11.28,35.3,,18859.3
1998-05-18,5071.47,11.37,35.5,,10338.3
1998-05-25,4915.36,11.02,34.4,,12335.8
1998-06-01,5084.85,11.4,35.6,,11976.3
1998-06-08,4973.34,11.15,34.8,,10947.6
1998-06-15,4995.64,11.2,35.0,,8233.1
1998-06-22,4951.04,11.1,34.7,,5736.8
1998-06-29,4817.23,10.8,33.8,,5572.6
1998-07-06,4625.43,10.37,32.4,,5214.5
1998-07-13,4616.51,10.35,32.3,,2969.4
1998-07-20,4326.59,9.7,30.3,,3183.1
1998-07-27,4281.98,9.6,30.0,,2823.6
1998-08-03,4237.38,9.5,29.7,,2963.6
1998-08-10,3862.7,8.66,27.1,,2887.9
1998-08-17,3198.11,7.17,22.4,,4013.0
1998-08-24,4500.54,10.09,31.5,,13868.0
1998-08-31,4415.79,9.9,30.9,,8807.8
1998-09-07,4326.59,9.7,30.3,,4191.6
1998-09-14,4451.47,9.98,20.8,,6439.3
1998-09-21,4429.18,9.93,20.7,,9196.6
1998-09-28,4460.39,10.0,20.8,,2690.2
1998-10-05,4460.39,10.0,20.8,,1127.3
1998-10-12,4339.96,9.73,20.3,,2057.2
1998-10-19,4393.49,9.85,20.5,,3957.0
1998-10-26,4259.68,9.55,19.9,,2821.7
1998-11-02,4183.85,9.38,19.5,,2161.7
1998-11-09,4415.79,9.9,20.6,,3996.7
1998-11-16,5285.57,11.85,24.7,,26301.9
1998-11-23,5499.67,12.33,25.7,,25200.4
1998-11-30,5352.48,12.0,25.0,,13157.5
1998-12-07,5263.27,11.8,24.6,,6992.9
1998-12-14,5406.0,12.12,25.3,,17125.5
1998-12-21,5263.27,11.8,24.6,,8695.8
1998-12-28,5058.09,11.34,23.6,,12676.6
1999-01-04,4531.77,10.16,21.2,,8597.1
1999-01-11,4781.55,10.72,22.3,,5364.9
1999-01-18,5182.98,11.62,24.2,,6796.9
1999-01-25,4821.69,10.81,22.5,,5961.0
1999-02-01,4803.85,10.77,22.4,,4001.0
1999-02-08,4661.12,10.45,21.8,,2935.3
1999-02-15,4763.7,10.68,22.3,,619.6
1999-02-22,4763.7,10.68,22.3,,
1999-03-01,4732.48,10.61,22.1,,375.3
1999-03-08,4973.34,11.15,23.2,,3375.7
1999-03-15,4995.64,11.2,23.3,,5424.9
1999-03-22,5339.09,11.97,24.9,,12900.2
1999-03-29,5303.41,11.89,24.8,,6088.2
1999-04-05,5432.76,12.18,25.4,,9131.3
1999-04-12,6133.05,13.75,28.6,,21755.7
1999-04-19,5976.93,13.4,27.9,,36604.5
1999-04-26,5629.02,12.62,26.3,,13406.5
1999-05-03,5869.88,13.16,27.4,,7081.2
1999-05-10,5575.5,12.5,26.0,,11361.0
1999-05-17,5370.32,12.04,25.1,,5173.9
1999-05-24,5785.13,12.97,16.0,,18130.8
1999-05-31,7203.54,16.15,19.9,,134820.6
1999-06-07,6681.68,14.98,18.5,,59937.9
1999-06-14,6953.76,15.59,19.2,,31223.6
1999-06-21,7502.39,16.82,20.8,,55134.1
1999-06-28,8390.01,18.81,23.2,,56098.4
1999-07-05,9121.51,20.45,25.2,,90523.1
1999-07-12,9621.08,21.57,26.6,,45608.5
1999-07-19,8385.54,18.8,23.2,,23952.2
1999-07-26,9018.92,20.22,25.0,,29832.0
1999-08-02,8648.71,19.39,23.9,,9981.3
1999-08-09,9259.79,20.76,25.6,,16838.3
1999-08-16,9050.14,20.29,25.0,,22114.3
1999-08-23,9121.51,20.45,25.2,,11702.5
1999-08-30,8733.45,19.58,24.2,,9944.4
1999-09-06,8233.89,18.46,16.8,,6128.3
1999-09-13,8662.09,19.42,17.7,,8685.3
1999-09-20,8430.15,18.9,17.2,,5431.7
1999-09-27,8287.41,18.58,16.9,,3675.3
1999-10-04,8452.45,18.95,17.2,,6454.3
1999-10-11,8028.71,18.0,16.4,,1367.2
1999-10-18,7716.48,17.3,15.7,,2784.4
1999-10-25,7208.0,16.16,14.7,,5293.4
1999-11-01,6753.04,15.14,13.8,,18399.5
1999-11-08,6623.69,14.85,13.5,,8666.3
1999-11-15,6556.79,14.7,13.4,,4530.1
1999-11-22,6628.15,14.86,13.5,,4040.8
1999-11-29,6472.04,14.51,13.2,,2124.3
1999-12-06,5633.48,12.63,11.5,,9962.1
1999-12-13,5615.64,12.59,11.4,,5220.3
1999-12-20,6177.65,13.85,12.6,,15865.8
1999-12-27,5807.44,13.02,11.8,,4661.1
2000-01-03,5785.13,12.97,11.8,,2737.4
2000-01-10,7448.86,16.7,15.2,,27546.1
2000-01-17,7190.16,16.12,14.7,,21231.4
2000-01-24,8028.71,18.0,16.4,,24581.0
2000-01-31,7796.77,17.48,15.9,,21528.1
2000-02-07,7796.77,17.48,15.9,,
2000-02-14,8577.34,19.23,17.5,,11593.1
2000-02-21,7894.9,17.7,16.1,,52057.1
2000-02-28,7738.79,17.35,15.8,,19197.4
2000-03-06,7805.7,17.5,15.9,,20060.6
2000-03-13,7694.19,17.25,15.7,,22799.3
2000-03-20,7484.55,16.78,15.3,,12669.7
2000-03-27,7658.5,17.17,15.6,,10519.0
2000-04-03,7988.57,17.91,16.3,,32826.1
2000-04-10,8024.25,17.99,16.4,,10142.6
2000-04-17,8452.45,18.95,17.2,,17385.7
2000-04-24,8095.62,18.15,16.5,,12911.1
2000-05-01,8251.73,18.5,16.8,,7406.2
2000-05-08,8318.64,18.65,17.0,,2399.4
2000-05-15,7761.09,17.4,15.8,,7123.5
2000-05-22,7988.57,17.91,16.3,,6040.3
2000-05-29,8042.1,18.03,16.4,,9106.9
2000-06-05,8407.85,18.85,17.1,,14723.2
2000-06-12,8216.05,18.42,16.7,,14523.5
2000-06-19,9010.0,20.2,18.4,,23086.8
2000-06-26,9041.22,20.27,18.4,,18703.3
2000-07-03,8483.67,19.02,17.3,,11172.5
2000-07-10,8608.56,19.3,17.5,,7003.5
2000-07-17,8697.78,19.5,17.7,,10471.2
2000-07-24,8229.43,18.45,16.8,,6958.8
2000-07-31,8117.93,18.2,16.5,,6637.0
2000-08-07,7948.43,17.82,16.2,,12391.9
2000-08-14,8100.08,18.16,16.5,,8628.2
2000-08-21,7984.11,17.9,17.0,,6171.7
2000-08-28,8158.07,18.29,17.4,,13928.2
2000-09-04,7752.17,17.38,16.6,,5454.4
2000-09-11,7426.56,16.65,15.9,,4615.8
2000-09-18,7230.3,16.21,15.4,,3007.9
2000-09-25,6877.93,15.42,14.7,,3308.7
2000-10-02,6958.22,15.6,14.9,,1460.3
2000-10-09,7083.11,15.88,15.1,,318.3
2000-10-16,6922.54,15.52,14.8,,1892.3
2000-10-23,7154.48,16.04,15.3,,2010.6
2000-10-30,7248.15,16.25,15.5,,2797.0
2000-11-06,7096.49,15.91,15.2,,2633.6
2000-11-13,7801.23,17.49,16.7,,7460.1
2000-11-20,7569.29,16.97,16.2,,7528.0
2000-11-27,7404.26,16.6,15.8,,4263.6
2000-12-04,7426.56,16.65,15.9,,2669.6
2000-12-11,7181.23,16.1,15.3,,4303.3
2000-12-18,7083.11,15.88,15.1,,3810.1
2000-12-25,7127.71,15.98,15.2,,3922.9
2001-01-01,7569.29,16.97,16.2,,4924.3
2001-01-08,7720.95,17.31,16.5,,7835.5
2001-01-15,7337.35,16.45,15.7,,3550.2
2001-01-22,7667.42,17.19,16.4,,3573.7
2001-01-29,7667.42,17.19,16.4,,
2001-02-05,7448.86,16.7,15.9,,471.4
2001-02-12,7390.88,16.57,15.8,,1976.3
2001-02-19,7350.73,16.48,15.7,,1098.0
2001-02-26,7506.84,16.83,16.0,,1894.6
2001-03-05,7819.08,17.53,16.7,,10538.1
2001-03-12,7662.96,17.18,16.4,,4443.9
2001-03-19,7761.09,17.4,17.9,,4272.1
2001-03-26,7984.11,17.9,18.5,,7591.8
2001-04-02,8006.41,17.95,18.5,,7017.9
2001-04-09,7756.63,17.39,17.9,,3769.1
2001-04-16,7796.77,17.48,18.0,,4112.9
2001-04-23,7538.07,16.9,17.4,,5247.8
2001-04-30,7551.45,16.93,17.5,,2720.9
2001-05-07,7551.45,16.93,17.5,,
2001-05-14,7582.68,17.0,17.5,,2099.6
2001-05-21,7564.83,16.96,17.5,,3650.4
2001-05-28,7292.75,16.35,16.9,,3583.5
2001-06-04,7417.64,16.63,17.1,,2587.9
2001-06-11,7462.25,16.73,17.2,,2477.1
2001-06-18,7364.11,16.51,17.0,,3857.5
2001-06-25,7448.86,16.7,17.2,,2818.7
2001-07-02,7261.53,16.28,16.8,,1951.9
2001-07-09,7172.31,16.08,16.6,,1968.8
2001-07-16,7141.09,16.01,16.5,,2359.7
2001-07-23,7145.55,16.02,16.5,,1539.1
2001-07-30,6338.23,14.21,14.6,,3024.8
2001-08-06,6003.7,13.46,13.9,,2708.5
2001-08-13,6654.91,14.92,15.4,,5173.2
2001-08-20,6378.37,14.3,14.7,,2725.3
2001-08-27,5687.01,12.75,13.1,,4355.4
2001-09-03,5290.03,11.86,12.2,,9723.0
2001-09-10,5200.82,11.66,12.0,,5718.4
2001-09-17,4901.98,10.99,11.3,,3517.4
2001-09-24,4955.5,11.11,11.5,,2385.5
2001-10-01,4933.2,11.06,11.4,,1249.2
2001-10-08,4933.2,11.06,11.4,,
2001-10-15,3568.32,8.0,8.2,,11566.5
2001-10-22,3215.95,7.21,7.4,,10126.8
2001-10-29,3639.69,8.16,8.4,,14464.9
2001-11-05,3421.13,7.67,7.9,,4176.6
2001-11-12,3256.09,7.3,7.5,,2943.6
2001-11-19,2939.4,6.59,6.8,,5521.9
2001-11-26,3398.82,7.62,7.9,,15057.7
2001-12-03,3679.83,8.25,8.5,,18140.1
2001-12-10,4152.63,9.31,9.6,,30599.0
2001-12-17,3809.18,8.54,8.8,,14546.2
2001-12-24,3960.83,8.88,9.2,,11359.7
2001-12-31,3599.54,8.07,8.3,,9356.2
2002-01-07,3541.56,7.94,8.2,12516.1,2103.3
2002-01-14,3207.02,7.19,7.4,,4801.3
2002-01-21,2917.09,6.54,6.7,,6247.5
2002-01-28,1913.51,4.29,5.4,,4556.5
2002-02-04,2087.46,4.68,5.9,,61814.1
2002-02-11,2417.53,5.42,6.8,,49562.0
2002-02-18,2417.53,5.42,6.8,,
2002-02-25,2582.56,5.79,7.2,,8173.0
2002-03-04,2435.37,5.46,6.8,,49761.5
2002-03-11,3287.31,7.37,9.2,,76761.9
2002-03-18,3033.06,6.8,8.5,,66411.3
2002-03-25,2796.66,6.27,7.8,,65087.0
2002-04-01,2645.01,5.93,7.4,,34815.3
2002-04-08,2640.55,5.92,7.4,,24692.9
2002-04-15,2622.71,5.88,7.4,,19936.4
2002-04-22,2381.85,5.34,6.7,,32417.6
2002-04-29,2314.94,5.19,6.5,,45438.9
2002-05-06,2314.94,5.19,6.5,,
2002-05-13,2314.94,5.19,6.5,,
2002-05-20,2314.94,5.19,6.5,,
2002-05-27,2314.94,5.19,6.5,,
2002-06-03,2314.94,5.19,6.5,,
2002-06-10,2314.94,5.19,6.5,,
2002-06-17,2314.94,5.19,6.5,,
2002-06-24,2314.94,5.19,6.5,,
2002-07-01,2314.94,5.19,6.5,,
2002-07-08,2314.94,5.19,6.5,,
2002-07-15,2314.94,5.19,6.5,,
2002-07-22,2314.94,5.19,6.5,,
2002-07-29,2314.94,5.19,6.5,,
2002-08-05,2314.94,5.19,6.5,,
2002-08-12,2314.94,5.19,6.5,,
2002-08-19,2314.94,5.19,6.5,,
2002-08-26,2314.94,5.19,6.5,,
2002-09-02,2314.94,5.19,6.5,,
2002-09-09,2314.94,5.19,6.5,,
2002-09-16,2314.94,5.19,6.5,,
2002-09-23,2314.94,5.19,6.5,,
2002-09-30,2314.94,5.19,6.5,,
2002-10-07,2314.94,5.19,,,
2002-10-14,2314.94,5.19,,,
2002-10-21,2314.94,5.19,,,
2002-10-28,2314.94,5.19,,,
2002-11-04,2314.94,5.19,,,
2002-11-11,2314.94,5.19,,,
2002-11-18,2314.94,5.19,,,
2002-11-25,2314.94,5.19,,,
2002-12-02,2314.94,5.19,,,
2002-12-09,2314.94,5.19,,,
2002-12-16,2314.94,5.19,,,
2002-12-23,2314.94,5.19,,,
2002-12-30,2314.94,5.19,,,
2003-01-06,2314.94,5.19,,,
2003-01-13,2051.78,4.6,,,72613.7
2003-01-20,2364.01,5.3,,,87706.9
2003-01-27,2497.82,5.6,,,104928.8
2003-02-03,2515.66,5.64,,,21568.4
2003-02-10,2573.64,5.77,,,5581.0
2003-02-17,2457.67,5.51,,,34013.9
2003-02-24,2181.13,4.89,,,36089.9
2003-03-03,2256.96,5.06,,,33157.3
2003-03-10,2091.92,4.69,,,19895.1
2003-03-17,2100.84,4.71,,,18559.1
2003-03-24,2051.78,4.6,,,20566.0
2003-03-31,2011.63,4.51,,,25506.6
2003-04-07,1935.81,4.34,,,27641.8
2003-04-14,1721.71,3.86,,,47953.3
